date,Accounting,Architecture,Biological Systems Engineering,Chemical Engineering,Computer Engineering,Computer Science,Graphic Design,Marketing,N/A,Software Engineering,Undeclared
9/16/2018,0,0,0,0,1,5,0,0,0,0,0
9/23/2018,0,1,0,0,1,5,0,0,0,0,0
10/21/2018,0,0,0,1,1,8,0,0,2,4,0
10/28/2018,0,0,0,2,1,5,0,0,1,3,0
11/4/2018,0,1,0,1,1,3,0,0,0,1,0
11/11/2018,0,1,0,1,1,2,0,0,0,2,0
11/18/2018,0,1,0,0,1,3,0,0,0,1,0
12/2/2018,0,0,0,0,1,1,0,0,0,0,0
12/9/2018,0,1,0,0,1,3,0,0,0,1,0
1/13/2019,0,1,1,0,1,3,0,0,0,1,0
1/27/2019,0,0,1,0,1,6,1,1,0,6,0
2/3/2019,0,1,1,0,1,6,1,0,0,0,0
2/17/2019,0,1,1,0,1,7,1,0,0,2,0
3/3/2019,0,0,0,0,1,3,1,1,0,2,0
3/10/2019,0,0,1,0,0,3,1,1,2,1,0
3/24/2019,0,0,0,0,0,2,0,0,0,0,0
3/31/2019,0,0,0,0,1,4,1,1,0,0,0
4/7/2019,0,0,0,0,1,1,1,0,0,1,0
4/14/2019,0,1,1,0,1,1,0,1,0,1,0
4/28/2019,0,1,1,0,1,4,1,1,0,1,0
9/8/2019,0,0,1,0,2,8,0,0,1,6,0
9/15/2019,0,0,1,0,3,6,0,0,0,7,0
9/22/2019,0,0,0,1,1,3,0,0,0,7,1
9/29/2019,0,0,1,1,1,5,0,0,0,4,1
10/6/2019,0,0,0,1,2,3,0,0,0,10,1
10/13/2019,0,0,1,1,1,9,0,0,0,9,1
10/27/2019,0,0,0,0,1,8,0,0,0,3,1
11/3/2019,0,0,1,1,1,6,0,0,0,6,1
11/10/2019,1,0,0,0,1,6,0,0,0,5,1
11/17/2019,1,0,1,0,0,7,0,0,0,5,1
