date,Accounting,Actuarial Science,Architecture,Biological Systems Engineering,Chemical Engineering,Computer Engineering,Computer Science,Electrical Engineering,Graphic Design,Marketing,Mathematics,Music,N/A,Software Engineering,Undeclared
2018-09-16,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
2018-09-23,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0
2018-10-21,0,0,0,0,1,1,8,0,0,0,0,0,2,4,0
2018-10-28,0,0,0,0,2,1,5,0,0,0,0,0,1,3,0
2018-11-04,0,0,1,0,1,1,3,0,0,0,0,0,0,1,0
2018-11-11,0,0,1,0,1,1,2,0,0,0,0,0,0,2,0
2018-11-18,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0
2018-12-02,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2018-12-09,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0
2019-01-13,0,0,1,1,0,1,3,0,0,0,0,0,0,1,0
2019-01-27,0,0,0,1,0,1,6,0,1,1,0,0,0,6,0
2019-02-03,0,0,1,1,0,1,6,0,1,0,0,0,0,0,0
2019-02-17,0,0,1,1,0,1,7,0,1,0,0,0,0,2,0
2019-03-03,0,0,0,0,0,1,3,0,1,1,0,0,0,2,0
2019-03-10,0,0,0,1,0,0,3,0,1,1,0,0,2,1,0
2019-03-24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2019-03-31,0,0,0,0,0,1,4,0,1,1,0,0,0,0,0
2019-04-07,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
2019-04-14,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0
2019-04-28,0,0,1,1,0,1,4,0,1,1,0,0,0,1,0
2019-09-08,0,0,0,1,0,2,8,0,0,0,0,0,1,6,0
2019-09-15,0,0,0,1,0,3,6,0,0,0,0,0,0,7,0
2019-09-22,0,0,0,0,1,1,3,0,0,0,0,0,0,7,1
2019-09-29,0,0,0,1,1,1,5,0,0,0,0,0,0,4,1
2019-10-06,0,0,0,0,1,2,3,0,0,0,0,0,0,10,1
2019-10-13,0,0,0,1,1,1,9,0,0,0,0,0,0,9,1
2019-10-27,0,0,0,0,0,1,8,0,0,0,0,0,0,3,1
2019-11-03,0,0,0,1,1,1,6,0,0,0,0,0,0,6,1
2019-11-10,1,0,0,0,0,1,6,0,0,0,0,0,0,5,1
2019-11-17,1,0,0,1,0,0,7,0,0,0,0,0,0,5,1
